,Date,Close,Open,High,Low
0,2022-12-31,16537.4,16607.2,16635.9,16487.3
1,2022-12-30,16607.2,16636.4,16644.4,16360.0
2,2022-12-29,16636.4,16546.2,16659.1,16496.6
3,2022-12-28,16546.2,16705.9,16781.1,16474.2
4,2022-12-27,16706.1,16918.2,16964.0,16610.1
5,2022-12-26,16918.1,16831.8,16936.1,16799.4
6,2022-12-25,16831.8,16835.7,16852.9,16733.0
7,2022-12-24,16837.2,16778.6,16855.8,16777.8
8,2022-12-23,16779.1,16820.5,16910.7,16768.0
9,2022-12-22,16820.6,16831.8,16862.2,16566.1
10,2022-12-21,16831.8,16902.7,16919.4,16735.0
11,2022-12-20,16902.8,16441.3,17031.3,16400.7
12,2022-12-19,16441.3,16741.1,16809.5,16331.2
13,2022-12-18,16741.1,16777.0,16825.7,16666.5
14,2022-12-17,16777.1,16629.0,16794.4,16587.0
15,2022-12-16,16629.6,17356.7,17518.5,16542.4
16,2022-12-15,17356.1,17796.4,17846.1,17298.2
17,2022-12-14,17796.4,17778.6,18351.8,17682.1
18,2022-12-13,17778.6,17210.9,17951.6,17094.5
19,2022-12-12,17210.4,17093.2,17232.5,16878.5
20,2022-12-11,17093.3,17127.0,17262.9,17080.6
21,2022-12-10,17127.2,17125.7,17220.5,17105.7
22,2022-12-09,17125.7,17225.6,17288.6,17082.1
23,2022-12-08,17225.7,16835.2,17294.2,16765.8
24,2022-12-07,16835.2,17089.4,17126.7,16715.3
25,2022-12-06,17089.3,16966.3,17101.1,16914.9
26,2022-12-05,16966.5,17106.9,17395.2,16886.9
27,2022-12-04,17112.6,16884.8,17198.1,16881.6
28,2022-12-03,16884.5,17093.4,17132.6,16862.1
29,2022-12-02,17093.6,16972.2,17096.2,16799.9
30,2022-12-01,16972.0,17163.4,17244.7,16868.9
31,2022-11-30,17163.9,16440.8,17215.5,16433.2
32,2022-11-29,16440.4,16211.9,16531.4,16100.1
33,2022-11-28,16211.7,16426.1,16481.4,16013.5
34,2022-11-27,16425.6,16456.4,16595.4,16414.6
35,2022-11-26,16456.5,16512.3,16686.3,16387.9
36,2022-11-25,16512.3,16600.6,16611.8,16360.9
37,2022-11-24,16601.2,16604.9,16785.6,16472.0
38,2022-11-23,16623.9,16216.9,16677.6,16162.3
39,2022-11-22,16212.9,15776.6,16274.6,15620.4
40,2022-11-21,15776.2,16278.6,16287.9,15504.2
41,2022-11-20,16286.7,16699.3,16749.3,16209.2
42,2022-11-19,16699.2,16652.2,16814.9,16608.9
43,2022-11-18,16638.3,16715.4,16846.3,16553.0
44,2022-11-17,16691.2,16540.5,16739.7,16425.8
45,2022-11-16,16540.5,16895.4,16993.4,16408.2
46,2022-11-15,16895.1,16615.0,17112.0,16543.9
47,2022-11-14,16613.7,16325.0,17158.4,15834.0
48,2022-11-13,16324.5,16803.9,16946.5,16274.9
49,2022-11-12,16795.2,17049.9,17100.8,16633.9
50,2022-11-11,17049.9,17589.1,17679.4,16435.5
51,2022-11-10,17589.1,15887.0,18138.2,15799.3
52,2022-11-09,15886.9,18538.9,18583.8,15603.3
53,2022-11-08,18527.4,20589.0,20667.5,17260.0
54,2022-11-07,20589.0,20916.3,21055.4,20410.5
55,2022-11-06,20916.3,21298.7,21360.4,20901.0
56,2022-11-05,21301.6,21145.7,21464.7,21084.1
57,2022-11-04,21145.9,20206.4,21281.9,20184.6
58,2022-11-03,20206.4,20154.0,20384.5,20066.6
59,2022-11-02,20154.4,20482.9,20778.3,20065.8
60,2022-11-01,20483.5,20496.1,20676.6,20348.1
61,2022-10-31,20496.3,20626.0,20822.4,20260.0
62,2022-10-30,20626.3,20809.4,20922.3,20522.5
63,2022-10-29,20809.8,20594.2,21038.1,20561.9
64,2022-10-28,20594.4,20293.0,20744.0,20058.2
65,2022-10-27,20292.9,20769.5,20867.9,20231.6
66,2022-10-26,20769.5,20086.8,20981.5,20062.9
67,2022-10-25,20082.7,19331.8,20406.9,19249.0
68,2022-10-24,19331.5,19571.2,19588.6,19177.2
69,2022-10-23,19571.2,19204.8,19680.9,19092.5
70,2022-10-22,19204.8,19162.6,19249.9,19116.1
71,2022-10-21,19162.6,19042.9,19245.5,18703.3
72,2022-10-20,19042.9,19125.1,19334.5,18935.6
73,2022-10-19,19123.9,19328.2,19358.6,19101.2
74,2022-10-18,19328.2,19548.4,19692.9,19102.8
75,2022-10-17,19548.2,19262.2,19663.5,19163.6
76,2022-10-16,19261.9,19068.8,19411.9,19066.0
77,2022-10-15,19068.7,19181.7,19218.7,19000.8
78,2022-10-14,19181.8,19379.8,19933.9,19098.6
79,2022-10-13,19379.8,19154.6,19494.4,18207.9
80,2022-10-12,19154.8,19058.5,19212.6,19010.6
81,2022-10-11,19059.1,19134.3,19261.3,18868.7
82,2022-10-10,19134.6,19441.7,19520.7,19057.0
83,2022-10-09,19441.0,19416.3,19552.1,19329.6
84,2022-10-08,19415.0,19530.2,19612.2,19274.7
85,2022-10-07,19531.3,19962.4,20051.4,19352.1
86,2022-10-06,19956.7,20157.5,20436.7,19873.7
87,2022-10-05,20157.5,20340.5,20353.8,19761.7
88,2022-10-04,20340.2,19629.7,20436.1,19506.4
89,2022-10-03,19628.3,19057.6,19676.0,19001.3
90,2022-10-02,19052.2,19311.9,19389.9,18937.3
91,2022-10-01,19311.9,19422.9,19480.3,19172.6
92,2022-09-30,19423.0,19593.4,20174.9,19208.9
93,2022-09-29,19593.0,19420.2,19631.5,18877.9
94,2022-09-28,19411.0,19083.4,19757.8,18505.3
95,2022-09-27,19081.0,19228.8,20361.2,18850.4
96,2022-09-26,19225.7,18803.1,19304.8,18695.2
97,2022-09-25,18803.2,18925.1,19125.1,18659.6
98,2022-09-24,18925.2,19288.4,19310.6,18812.0
99,2022-09-23,19293.5,19404.1,19477.3,18554.8
100,2022-09-22,19404.0,18488.1,19490.9,18371.0
101,2022-09-21,18489.0,18875.1,19758.4,18191.8
102,2022-09-20,18872.4,19538.9,19626.3,18742.6
103,2022-09-19,19538.9,19417.4,19666.6,18277.8
104,2022-09-18,19418.8,20113.9,20113.9,19347.7
105,2022-09-17,20113.5,19802.8,20178.6,19761.0
106,2022-09-16,19802.4,19701.9,19883.0,19352.9
107,2022-09-15,19701.7,20222.3,20321.4,19532.3
108,2022-09-14,20222.5,20175.5,20503.7,19654.2
109,2022-09-13,20175.5,22395.3,22702.5,19909.6
110,2022-09-12,22395.3,21836.6,22465.4,21581.6
111,2022-09-11,21834.9,21650.4,21836.4,21363.0
112,2022-09-10,21650.4,21363.8,21790.6,21139.9
113,2022-09-09,21365.2,19318.8,21545.7,19294.1
114,2022-09-08,19317.4,19281.5,19444.7,19034.5
115,2022-09-07,19281.5,18786.3,19445.9,18548.4
116,2022-09-06,18786.4,19793.4,20169.3,18723.3
117,2022-09-05,19793.1,19999.9,20042.9,19650.7
118,2022-09-04,19999.9,19832.2,20017.8,19594.7
119,2022-09-03,19831.4,19952.8,20043.8,19660.7
120,2022-09-02,19952.7,20131.6,20428.2,19764.7
121,2022-09-01,20126.1,20049.9,20202.7,19584.4
122,2022-08-31,20043.9,19793.4,20469.1,19793.4
123,2022-08-30,19792.6,20295.6,20558.2,19559.7
124,2022-08-29,20295.8,19551.3,20394.5,19551.2
125,2022-08-28,19550.2,20034.2,20150.8,19542.9
126,2022-08-27,20033.9,20249.9,20343.6,19849.8
127,2022-08-26,20249.9,21564.2,21815.3,20122.4
128,2022-08-25,21565.4,21365.4,21801.2,21324.8
129,2022-08-24,21365.2,21516.2,21832.3,21171.1
130,2022-08-23,21517.2,21416.5,21661.0,20919.6
131,2022-08-22,21416.3,21516.8,21517.4,20912.1
132,2022-08-21,21517.2,21138.9,21692.4,21077.4
